date,days,avgCwtX1,avgCwtX2,avgCwtX3,avgCwtX4,avgCwtX5,avgCwtX6,avgCwtX7,avgCwtX8,avgCwtX9,avgCwtX10,avgCwtX11,avgCwtX12,avgCwtX13,avgCwtX14,avgCwtX15,avgCwtX16,avgCwtX17,avgCwtX18,avgCwtX19,avgCwtX20,waterColY
26/06/2017,25,274.9255697,340.3797199,386.1820376,406.0583706,403.4035687,383.8766039,349.2290951,301.1629294,245.7866487,190.8768326,142.0374867,101.4078866,68.50921212,43.31233984,26.6901764,18.53500254,16.09363326,14.91109942,13.15238565,11.02762872,6.597200816
27/06/2017,26,231.0329218,294.6579252,344.9531043,373.0636563,378.5619031,366.5582487,340.2413278,299.6270603,247.8931494,192.3647737,141.6384355,101.0884654,70.03043414,45.41132912,26.84332075,15.91793278,11.84453092,11.22796409,11.13641875,10.59753899,6.607898962
28/06/2017,27,218.4996706,279.9241989,329.0952577,356.7813893,362.0267144,350.3373128,325.7976232,288.8114628,241.8851606,192.1824031,148.5207208,113.1070974,81.25976352,51.76067096,28.40450658,15.00383834,10.38739194,9.618450518,9.097330802,8.08163161,6.618244002
29/06/2017,28,259.3781697,324.748194,373.2980377,397.7215743,399.5325199,383.8647231,353.2379139,309.0120169,256.0615512,201.9413559,153.7550609,114.1720114,81.44726004,54.75557687,35.19841861,23.64679706,18.66586223,17.0347538,15.82348465,14.24810034,6.629607299
30/06/2017,29,244.6987052,308.1465904,356.1385151,380.4423855,381.8914303,366.7972413,338.9102893,299.7029901,252.7394617,203.4629727,158.0978168,119.4112601,86.65577693,59.54427154,39.55055014,27.25324007,20.55965127,16.62276463,13.77508244,12.08164861,6.64735008
01/07/2017,30,294.3954155,358.4190395,401.6317988,419.663953,415.5543749,393.2026946,354.710709,304.6063431,251.4344257,202.8469102,162.0273264,127.6624104,97.95508017,72.69740885,52.59953606,38.44705513,29.56916193,23.71170522,19.27682234,16.37168949,6.65607439
02/07/2017,31,249.2753129,314.6422902,364.8374805,391.3419936,393.8672852,376.9953462,343.7474741,297.2943329,244.8019097,194.5804097,151.4405201,115.2971263,83.85111527,57.42220837,38.50699211,28.70959123,25.48525315,23.88473024,21.2823829,17.62592778,6.681770678
03/07/2017,32,244.5684979,310.6181194,361.38436,387.9112739,390.8806742,376.6583146,348.2416701,305.2714595,250.7840551,193.5360718,144.1900088,106.012429,74.55500128,47.4301114,26.92616515,15.5141244,12.23989593,12.29752877,12.24216002,11.48969363,6.681948499
04/07/2017,33,232.9206674,288.1511071,327.295432,345.1524468,344.0563389,328.3738958,299.3265745,257.2505788,205.896942,152.9060803,106.6984741,72.27945201,48.5334918,31.78218608,20.15824808,13.47566278,10.72603862,9.589376637,8.698098006,8.148052882,6.69031328
05/07/2017,34,270.4110977,334.3048582,379.1536063,399.0930199,397.0839191,378.1684201,344.5913226,297.510278,242.0250702,187.4795192,141.5301598,105.5459653,76.84966596,53.99306646,37.64343574,28.45240583,24.6749277,23.29142687,21.44670004,18.23365943,6.692189032
06/07/2017,35,266.9835044,332.7183483,379.8176517,400.6979146,397.9133864,378.1342385,343.7090656,296.077374,241.3304209,187.8472688,141.0096343,102.8333022,72.59141876,48.86016672,31.75965658,21.34657955,15.88713724,12.96617657,11.21392563,10.19805745,6.692189032
07/07/2017,36,234.3774764,297.6527308,346.9969611,374.0035778,378.6268898,366.0787122,339.2724562,299.1001641,250.0445391,200.5004577,157.7108258,122.3377791,90.78451343,62.20396677,39.48238117,24.91589259,17.65094313,14.41771179,12.5414807,11.23663513,6.696409609
08/07/2017,37,311.7112812,377.5687678,418.8200584,431.4581412,421.4986963,394.9987116,353.2020943,299.5444756,243.4027413,193.4756638,152.3104028,118.825608,91.56234993,69.64129679,52.93648577,41.86873423,35.13196287,29.88097788,24.98074043,20.91001054,6.757226992
